questions	answers
Who is the paternal grandfather of Guy Le Strange?	High - School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High School - High
Who is Germaine Of Foix's paternal grandfather?	Test Card F.
Which film has the director who died earlier, Gold For The Caesars or Heinz In The Moon?	Heinz In The Moon
Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
What is the date of death of the director of film Escándalo De Estrellas?	2010
Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?	Children Of Fortune
Where was the composer of film Terror In The Aisles born?	ten years.
Which film whose director is younger, Roland The Mighty or Graves Without A Name?	Roland The Mighty
What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?	James Marshall Hendrix.
Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?	Michelle Feldman is a right-handed female professional ten- pin bowler and former member of the Professional Women's Bowling Association(PWBA).
What nationality is Beatrice I, Countess Of Burgundy's husband?	German.
Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?	Saajan Bina Suhagan
Which film has the director born first, Şaban, Son Of Şaban or East/West?	Son Of aban
Where did George Lane-Fox (Mp)'s father study?	Michelle Feldman
Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?	Stella'S Oorlog
Where was the place of death of Christiane Vulpius's husband?	Egypt.
Which film has the director died earlier, Dialogues Of Exiles or Rhythm And Weep?	[Final Answer]: Rhythm And Weep.
Which film came out first, My Wife'S Lodger or Ko 2?	Ko 2
Which film has the director born later, Allos Gia To Ekatommyrio or Elvira'S Haunted Hills?	Planet of the Apes movie.
Who is the uncle of Catherine Allégret?	Blume's new book, Everybody Behaves Badly: The True Story Behind Hemingway ’s Masterpiece, is the first book to tell the full story behind Hemingway ’s earliest published novel and how it propelled him to enduring international fame.
Who is the paternal grandfather of George De Salis?	George I.
What is the date of death of Catherine Of Guelders's father?	Pope Pius I of Taranto
Who is the father of the composer of song I Miss You (Miley Cyrus Song)?	Lenny (Adam Sandler)
What is the place of birth of the director of film Operation Secret?	Los Angeles.
Who was born first out of Alexey Volkonsky and Wanderley Oliveira?	Lenny (Adam Sandler) is a young actress who has been a model for five years.
Where did Bianca Riario's father die?	portrayal of indigenous Bolivians as shaped by the assimilationist ethos of his time, but also as progressive for the era, highlighting the condition of indigenous peoples, denouncing racism, and raising the question of their role in society.
Where was the director of film Bollywood Calling born?	Gujarat
Are Doboy Railway Station and Adamstown Railway Station, New South Wales located in the same country?	No.
Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?	The film is a feature-length dystopian film.
Who is the mother of the performer of song Feel Good (Robin Thicke Song)?	Feeling
Where did Tamara Imeretinsky's father graduate from?	United States Army, and served in the United States Army.
Who died first, Louis-René De Caradeuc De La Chalotais or Hermann Friedrich Graebe?	He is buried in the center of the Curaçao capital Willemstad.
Where was the place of death of James Adam (Architect)'s father?	John McKenzie was a pioneering and outspoken Catholic scholar of the mid-twentieth century.
Where did Edmund Tudor, 1St Earl Of Richmond's wife graduate from?	Dental College at New York University.
Which film was released more recently, Aami or Bitch Slap?	"""Goliyon Ki Raasleela Ram-Leela"" in response to an order by the court, allowing it to release on the scheduled date."
Who is Busba Kitiyakara's paternal grandfather?	[Final Answer]: Taurian J. Fontenette.
Who is the father of the director of film Ae Dil Hai Mushkil?	Sofi Ahmed Chowdhury
Who was born first out of Ramsay Anderson and Fernand Fédronic?	Howie Mandel's golden buzzer
Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?	[Final Answer]: no.
What is the place of birth of the director of film Dawn Of Life?	Quartus de Wet.
Where was the husband of Jeanne Raunay born?	Jean Byrne was born in Newark, New Jersey.
Are the directors of films The Edifying And Joyous Story Of Colinot and Cold Moon both from the same country?	[Final Answer]: No.
What is the place of birth of the performer of song Pluto (Song)?	London
What is the place of birth of Princess Margaretha Of Saxony's mother?	Paoni.
Who is the spouse of the director of film West Of Shanghai?	Andrea Rabagliati
Do director of film Jerry And Tom and director of film Kansas City Princess share the same nationality?	no
Which film was released earlier, Amelie Or The Time To Love or Beginners?	[Final Answer]: [Final Answer]: No Time for Love.
What is the cause of death of composer of song Look At Me (Xxxtentacion Song)?	[Final Answer]: [Final Answer]: 69 Sexy Things 2 Do Before You Die.
Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?	Of course, the film is not a cult film.
Who is Constantine Palaiologos (Son Of Andronikos Ii)'s maternal grandmother?	Final Answer: [Final Answer]: [Final Answer]
Where was the performer of song Lucky Me, Lucky You born?	Muddy Waters.
What is the place of birth of the creator of Miss Seventeen?	British television show.
Who is the mother of the director of film Brenda Brave?	All My Children.
Where was the place of burial of Meritites I's husband?	The Theban Tomb TT59 is located in Sheikh Abd el- Qurna, part of the Theban Necropolis, on the west bank of the Nile, opposite to Luxor.
Who is Wisigard's father-in-law?	Chuck Versus the Truth.
Where was the place of death of Duchess Maria Dorothea Of Württemberg's father?	Mauger was banished from Rouen to the Isle of Guernsey.
Where was the director of film The Pride Of Jennico (Film) born?	[Final Answer]: St. Paul's Cathedral, New York.
Where was the director of film Gently My Songs Entreat born?	Michelle Feldman (born April 19, 1976) is a former professional ten- pin bowler and former member of the Professional Women's Bowling Association (PWBA)
What is the cause of death of Eleanor De Clare's husband?	Isabella, married Edmund of Langley, 1st Duke of York, the fourth son of King Edward III and Queen Philippa.
What is the cause of death of performer of song Voi Voi?	Carvalho died in the hospital's intensive care unit on 11 April 2016.
Which film has the director died first, Resan Till Dej or Rocking Moon?	Sharma, while the lyrics were written by Siddharth–Garima.
Which film has the director born later, Christ Walking On The Water or 45 Fathers?	Christ Walking On The Water
Are both directors of films Breslin And Hamill: Deadline Artists and Jean The Tenant from the same country?	No
Are Bal Vidyalaya (Kota) and Loreto House both located in the same country?	no
When did Engelbert, Count Of Nevers's mother die?	""" heiress."
Which film has the director died later, Excursion Train or Bad Day At Black Rock?	At the Well in Front of the Gate
Which film has the director who died later, Emanuelle And The Last Cannibals or Hostile Country?	Hostile Country.
Which film has the director died later, Just Like A Woman (1939 Film) or Madigan'S Millions?	Just Like A Woman (1939 Film)
Why did the performer of song Ludlow Massacre (Song) die?	To assassinate the prime minister himself.
Which film has the director who died later, Cooee And The Echo or Sweepings?	Sweepings
Which film has the director born earlier, The Newest Pledge or Más Allá De La Aventura?	The Newest Pledge
Where was the director of film Slingshot (Film) born?	Auburn, NY.
Which film has the director who was born first, I Come With The Rain or A Question Of Attribution?	A Question Of Attribution
Are Coal City, Illinois and Lash Kenar, Nur both located in the same country?	no
Who is the mother of Olaf (Ii) Haraldsen?	Dorothy McNeill.
What nationality is Florent Of Hainaut's mother?	German parliament.
Where was the director of film The Love Captive born?	John McKenzie was born in Brazil, Indiana, the first of the six children of Myra and Harry McKenzie.
Are the directors of both films Der Blindgänger and Hotel Desire from the same country?	no
Who is the spouse of the director of film Noc Nevěsty?	Jenna Fischer
Which film has the director who died later, The Death Kiss or Her Luck In London?	[Final Answer]: Her Luck In London.
Which film whose director is younger, The Devil'S Pass Key or La Bella Di Lodi?	La Bella Di Lodi
Where did the composer of film Henry V (1944 Film) die?	OSHA investigation.
Which film has the director who is older, Johnny Concho or One Minute To Twelve?	The first season of the second season was a re-release of the game.
Which album came out earlier, Was I The Wave? or Kingdom Of Rock?	Kingdom Of Rock
Which film has the director born later, Cyclone Of The Saddle or Blind Corner?	Blind Corner
Where did the director of film The Gallant Lords Of Bois-Doré die?	[Final Answer]: Rwanda.
Which film came out earlier, It'S Our Life! or Maximum Ride (Film)?	The film was released by Metro-Goldwyn-Mayer in 2000.
Where did the director of film The Boy Who Cried Werewolf (1973 Film) die?	a voice-over for the film.
Where was the director of film Los Motivos De Luz born?	"John McKenzie"""
Where was the performer of song Fast Car (Namie Amuro Song) born?	Billy Van MashUps!
Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?	"Michelle Feldman was named 2002 PWBA Player of the Year, and was also honored as the ""Billing Digest"" Bowler of the Year in 2002."
Where was the director of film En Aasai Rasave born?	[Final Answer]: Salt Lake City.
Where was the director of film High (Film) born?	Mangalore
Where was the place of death of Ginevra D'Este's husband?	Barbados Cricket League in 1955 – 56.
